12,1,1,0,1,0,0,3,0,2,5,0,0,3,0,2,0,0,2,0,0,5,0,1,1,51,1,0,1,0,0,0,0,1,0,0,17,1,0,0,0,0,0,0,0,2,2,2,2,0,0,4,0,0,0,0,3,2,0,1,2,1,1,1,1,0,0,1,1,0,2,2,0,1,8,1,0,0,18,0,1,0,0,7,1,1,32,1,2,2,1,0,2,0,1,1,0,11,1,0,0,0,0,1,2,1,0,2,0,1,2,0,1,0,2,1,0,0,0,0,0,0,0,14,0,21,2,1,0,0,1,16,3,35,0,18,3,2,9,17,0,1,1,1,2,1,33,5,0,1,1,0,0,1,1,1,0,0,5,0,0,1,0,1,1,0,22,0,0,0,15,0,5,1,1,0,2,3,0,0,0,1,24,1,1,0,36,0,0,1,1,22,0,1,1,1,11,0,1,0,42,4,2,0,0,0,0,3,0,1,0,1,1,0,6,34,7,1,1,1,0,0,13,5,0,0,3,5,0,1,1,0,3,1,1,2,2,0,1,1,4,4,1,0,0,1,0,0,1,1,6,0,2,4,16,1,1,0,36,0,1,0,1,0,2,0,1,0,1,48,0,1,0,0,0,0,0,1,0,1,1,1,3,2,0,0,2,3,0,2,6,0,1,0,0,1,0,0,0,2,2,9,2,0,0,1,0,1,2,35,0,1,0,0,1,1,29,1,2,3,1,0,4,0,1,0,0,1,3,14,11,4,0,34,0,2,1,1,1,1,17,0,32,3,1,6,1,2,2,0,1,1,1,0,15,2,1,2,0,1,19,0,2,3,1,14,1,1,1,1,9,0,0,0,13,0,0,0,1,0,2,5,1,0,2,2,1,3,2,3,0,1,32,1,0,0,0,2,1,19,0,0,1,0,0,0,0,18,1,1,0,33,0,1,0,0,0,0,6,1,0,0,0,0,1,1,7,1,0,1,0,0,1,1,0,6,1,5,5,0,0,0,0,0,39,1,1,1,7,3,2,4,1,6,3,1,0,2,2,3,1,1,3,1,14,1,6,13,0,0,2,0,1,0,1,1,16,0,0,2,1,1,0,42,1,1,0,0,5,0,0,1,3,3,1,2,2,17,2,0,0,2,0,3,0,0,1,0,0,4,1,0,0,3,3,2,0,5,7,1,1,0,0,0,0,0,0,9,0,68,0,3,0,2,0,0,35,1,2,0,27,0,1,0,2,0,0,5,2,1,0,47,2,3,0,1,1,1,12,0,0,9,0,0,8,31,0,3,8,1,2,0,0,0,0,0,2,8,2,0,2,0,6,0,0,4,1,0,3,0,1,1,0,0,1,2,1,0,0,1,0,2,0,3,3,1,1,2,0,0,1,0,1,32,1,2,0,0,2,3,18,0,25,1,0,1,0,0,2,1,0,0,0,1,0,0,3,0,12,2,0,3,3,1,11,1,23,0,3,1,0,1,1,22,9,2,19,9,0,27,3,21,3,0,0,1,1,2,0,0,3,25,0,1,0,2,0,1,0,1,1,0,2
8,2,8,0,1,2,1,39,0,2,3,5,8,3,4,0,0,0,2,0,1,1,2,1,2,48,0,0,8,1,1,1,3,1,0,0,27,2,1,1,2,5,2,1,0,2,3,35,2,1,0,0,0,0,0,0,0,5,0,0,2,1,1,0,0,0,0,4,3,1,1,3,0,1,5,0,1,1,27,2,0,0,1,4,3,1,27,1,1,0,1,2,6,2,0,1,0,6,3,1,0,1,0,1,0,1,0,4,0,0,0,2,0,0,1,0,2,0,0,0,1,1,0,11,2,28,3,0,0,0,3,8,1,43,0,3,2,3,12,22,4,1,3,0,1,1,37,3,0,1,12,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,21,0,0,1,23,0,3,0,2,2,1,3,0,0,0,2,48,1,2,0,51,0,0,1,0,28,0,1,0,0,14,1,2,1,36,6,0,0,1,0,0,7,2,1,1,3,3,0,1,36,7,1,1,2,1,1,27,1,0,3,0,1,0,0,2,1,2,0,1,1,2,0,1,4,1,0,0,0,0,0,0,0,1,0,59,0,1,5,18,2,7,0,64,1,0,1,1,0,2,2,0,0,0,68,1,0,1,1,0,6,1,0,2,9,2,0,2,2,3,0,0,1,0,2,2,2,0,0,0,2,2,0,1,1,3,6,1,0,2,1,0,1,0,73,2,1,1,4,0,2,39,1,1,3,0,1,7,0,0,0,0,1,0,8,19,1,0,38,4,0,1,5,3,9,2,3,47,1,0,7,1,1,0,3,2,0,1,0,13,41,1,0,0,2,28,2,3,1,3,15,1,1,0,3,12,0,2,2,35,2,3,1,3,0,0,1,1,1,0,0,16,2,1,3,3,0,47,2,0,0,1,3,3,15,3,0,2,1,2,1,0,21,0,0,1,46,0,2,0,0,0,3,15,0,0,1,3,0,0,2,0,6,0,0,0,0,0,3,0,4,2,3,1,0,0,0,18,1,53,4,0,1,13,5,0,2,1,5,0,0,0,0,0,0,0,0,3,1,22,0,0,15,1,0,1,0,0,1,0,0,13,0,1,1,1,1,1,45,1,0,3,3,2,0,0,2,1,1,0,3,1,14,0,1,1,0,0,0,0,0,0,1,1,5,0,0,0,0,0,3,0,4,11,0,2,0,2,0,1,1,2,6,0,92,2,1,1,1,0,0,5,1,0,1,44,0,0,0,2,4,0,3,3,1,0,69,2,0,0,3,0,1,32,4,1,22,1,0,6,48,0,2,6,0,3,0,0,1,0,1,1,11,1,1,6,0,8,0,0,3,0,1,2,0,6,0,0,1,0,1,0,0,1,3,2,0,0,12,2,6,1,19,0,2,3,6,2,49,2,2,1,2,1,5,28,0,36,1,3,1,1,2,2,1,0,0,0,2,1,0,38,1,1,2,0,1,3,0,8,0,38,0,1,0,3,2,1,25,15,3,21,13,1,2,33,22,0,0,0,1,2,3,0,4,3,32,0,1,0,0,1,2,1,0,3,1,1
3,0,1,1,0,0,1,15,0,0,1,1,0,4,0,0,2,0,1,2,0,2,0,2,0,37,2,0,0,0,0,0,0,2,1,0,18,0,0,0,0,1,0,0,0,2,0,17,0,1,0,1,0,0,0,0,0,1,0,2,1,1,3,4,0,1,0,1,2,0,0,0,0,0,4,0,0,1,1,1,0,0,0,5,2,1,19,0,0,0,0,0,3,0,0,3,0,3,0,1,1,0,1,1,1,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,7,0,12,1,0,0,0,1,13,0,26,1,14,0,0,9,8,2,0,1,0,1,0,19,3,1,0,3,0,0,0,1,2,0,0,2,0,0,0,0,0,1,0,16,0,1,0,12,0,4,0,1,1,0,1,0,0,0,0,17,1,4,1,23,0,0,1,0,13,0,1,1,1,5,1,0,0,14,1,1,0,1,0,0,9,1,2,0,1,0,0,4,23,8,0,0,2,0,0,9,1,1,0,1,3,2,0,0,0,0,2,2,0,3,0,2,0,2,5,0,0,0,0,0,0,1,1,31,0,1,1,13,0,9,0,18,0,1,3,3,0,1,1,0,0,0,31,1,3,1,0,0,1,0,0,1,1,0,2,0,3,0,0,1,0,0,0,3,0,0,0,0,1,0,1,1,3,0,5,1,0,1,0,0,0,0,13,0,1,1,1,1,2,31,1,0,0,1,0,27,0,3,1,0,0,0,5,8,1,0,15,0,5,1,4,2,3,8,1,23,1,1,0,0,0,0,1,0,1,0,0,17,14,0,2,0,0,13,1,0,0,1,8,1,0,1,1,9,0,2,1,17,1,1,1,1,0,0,2,0,1,0,1,1,2,0,2,0,0,14,1,0,1,1,0,0,9,0,0,1,0,1,0,0,0,1,0,1,27,1,0,0,0,0,1,5,0,1,1,0,0,0,0,2,2,0,1,0,2,0,0,0,7,0,5,4,0,0,2,7,1,28,1,1,1,7,2,0,0,0,2,0,1,0,0,0,2,0,0,0,1,15,0,0,11,0,0,1,0,0,0,2,0,12,0,0,3,0,0,0,27,1,0,1,3,3,1,0,2,0,0,1,1,0,6,1,1,1,0,0,1,0,0,0,0,1,1,2,0,0,0,4,1,1,4,15,1,0,3,0,0,0,0,1,3,0,4,0,0,0,0,0,0,24,0,2,2,19,1,0,0,0,0,0,4,1,3,0,46,0,0,0,0,1,0,14,0,0,4,1,1,7,17,0,4,2,0,0,1,0,1,0,1,0,4,2,0,4,3,2,1,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,1,1,0,0,7,0,2,2,3,3,4,0,1,3,28,1,1,0,0,1,1,1,1,15,0,4,1,0,0,1,0,0,1,0,0,0,0,17,0,7,4,0,0,2,2,8,0,14,0,1,0,2,0,2,16,8,4,11,5,0,2,23,14,5,0,0,0,1,1,0,0,1,16,0,2,0,3,0,0,2,0,0,0,3
8,0,2,0,1,1,1,3,0,4,0,3,0,3,1,1,0,0,0,0,1,0,0,1,1,62,1,1,2,0,1,1,1,1,0,1,17,1,0,0,0,2,2,0,0,1,0,29,1,1,0,3,0,0,0,0,0,3,0,1,1,2,3,1,1,0,1,0,1,0,1,0,0,0,1,0,2,3,22,2,0,0,0,5,5,3,31,3,0,0,0,0,3,2,0,1,0,9,4,0,0,1,0,0,2,1,0,1,0,0,0,2,0,0,0,0,1,0,1,0,3,1,0,17,1,14,5,0,0,0,5,16,1,47,7,17,0,0,14,2,1,1,0,1,0,1,38,0,1,2,8,0,1,0,0,1,0,0,2,0,0,2,0,1,0,0,22,2,0,2,22,0,6,0,1,1,0,3,0,0,0,0,34,0,8,0,54,0,0,3,0,33,1,1,0,0,6,3,5,0,35,2,1,1,0,0,0,11,0,1,1,2,1,1,1,35,7,2,1,2,1,0,2,5,1,0,0,5,0,1,4,0,0,2,0,1,4,0,5,1,3,0,0,0,0,1,0,0,1,0,8,0,2,0,35,0,12,2,44,1,1,3,4,0,1,3,1,0,0,56,2,0,3,0,1,1,2,3,0,4,1,3,0,3,1,0,1,0,0,1,2,1,2,0,4,1,1,0,0,2,2,5,1,0,5,1,5,3,0,52,3,0,0,2,1,1,47,1,0,1,0,2,64,1,1,0,1,1,2,6,13,1,1,21,3,5,3,4,1,1,17,1,33,2,1,9,0,2,0,2,1,4,0,1,18,22,1,0,0,0,33,3,3,1,2,17,1,1,2,3,14,0,2,1,18,1,0,2,0,0,1,3,2,0,0,1,16,3,3,1,0,0,29,2,0,1,0,0,2,16,4,0,3,0,3,1,1,13,0,0,1,65,0,1,1,1,1,1,11,2,0,1,1,0,0,2,2,3,3,1,1,0,1,4,1,8,5,5,8,3,0,1,21,2,38,2,0,1,21,3,0,2,2,4,2,1,0,2,0,2,0,0,5,1,16,0,2,2,1,3,1,0,2,0,0,1,14,3,0,3,2,1,0,51,0,0,1,1,2,1,0,3,2,1,1,2,0,13,0,1,0,0,0,0,0,3,0,1,1,3,1,1,0,0,1,4,2,7,5,0,1,1,0,0,0,0,2,7,0,61,1,1,0,0,1,0,63,1,1,6,29,0,1,0,1,1,0,3,2,1,0,61,0,2,0,3,0,0,22,6,0,19,0,2,11,34,0,7,4,1,4,1,0,0,0,4,1,7,2,0,5,0,8,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,1,2,1,0,0,14,0,2,3,2,1,0,2,1,3,31,0,0,1,2,2,7,18,0,29,0,1,3,2,0,4,0,0,0,0,2,1,0,43,0,7,2,0,5,4,3,1,1,25,0,1,0,2,2,0,2,5,2,1,14,2,27,37,1,0,0,0,2,1,0,2,0,5,41,1,5,0,2,0,0,5,2,1,2,1
8,1,2,0,1,0,0,19,0,0,0,0,2,3,0,0,1,0,1,1,0,0,0,1,2,33,0,0,1,0,2,0,0,0,1,2,17,0,0,1,0,2,1,0,0,0,1,14,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,1,5,0,0,8,0,1,4,14,2,1,0,0,1,3,0,24,2,0,0,1,0,5,1,0,0,1,6,1,0,1,0,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,2,1,0,0,3,2,7,0,15,2,0,0,1,1,15,1,34,0,22,0,0,6,12,0,2,0,0,1,1,2,2,0,0,12,2,0,0,1,0,0,1,0,3,2,0,0,1,2,0,12,0,2,0,19,0,0,0,3,1,0,0,0,0,0,0,34,1,3,1,2,0,0,0,1,25,0,0,0,1,3,0,1,0,21,2,0,0,0,2,0,6,1,1,1,2,3,0,1,25,6,0,1,1,0,0,8,11,0,3,0,0,0,0,1,1,3,0,1,1,1,0,4,0,0,0,0,0,0,0,0,0,1,2,31,1,0,1,1,0,4,1,26,0,0,0,1,0,1,1,0,0,1,34,0,2,1,0,0,2,1,0,1,2,0,1,0,1,0,1,4,1,0,2,6,0,0,0,0,1,0,0,1,0,1,3,0,0,0,0,1,0,2,23,0,1,3,0,0,2,26,3,0,1,0,0,37,1,0,0,2,0,1,5,13,2,1,19,0,3,0,6,1,2,6,1,26,4,2,1,2,2,0,2,1,2,3,1,7,19,0,4,0,1,2,1,1,0,1,7,1,0,1,0,12,0,2,0,18,1,2,0,0,0,1,8,0,0,0,0,14,3,0,1,0,0,19,1,0,0,0,2,0,14,0,0,0,0,0,0,0,5,1,2,1,2,1,0,0,0,0,0,2,1,1,0,1,1,0,3,2,2,1,0,1,0,0,0,0,0,1,1,3,1,2,3,0,1,29,0,0,1,7,2,1,1,1,3,0,1,0,0,0,2,0,0,2,1,17,0,2,5,3,3,1,1,2,0,1,0,19,0,1,4,1,0,0,29,0,1,0,0,2,0,0,5,1,0,1,3,0,8,0,1,1,1,0,2,0,0,0,0,0,1,0,2,0,0,1,1,0,1,9,1,0,0,1,0,0,1,0,3,1,47,0,1,0,1,0,0,28,0,1,1,18,0,1,0,0,0,0,1,1,0,0,36,1,1,0,4,0,3,2,1,1,7,0,0,11,12,0,4,1,0,2,1,1,3,0,5,1,4,1,0,2,0,3,0,1,0,1,0,1,1,2,1,0,0,1,0,3,0,1,2,0,1,0,4,0,3,1,15,0,3,1,0,1,16,0,1,0,1,0,2,6,1,19,0,0,0,0,2,0,2,0,0,0,2,0,0,21,2,4,2,0,3,2,2,4,1,23,0,1,0,2,3,1,15,9,1,11,6,0,18,25,13,2,0,0,0,1,1,1,2,1,19,0,3,0,1,1,0,0,0,1,0,0
14,0,2,0,0,0,1,18,1,2,1,1,0,0,0,0,2,0,4,1,0,0,1,3,1,47,1,0,2,0,2,0,1,4,0,1,18,1,0,0,0,4,1,0,0,2,6,29,3,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,2,1,0,1,0,0,1,4,0,0,6,1,1,1,27,0,3,0,2,4,1,1,29,0,0,0,0,4,4,1,0,2,0,7,0,4,1,0,0,1,0,2,0,3,0,0,0,2,2,0,0,1,0,2,0,0,1,2,0,14,2,2,2,0,0,0,1,14,1,45,0,14,0,2,12,22,0,0,1,0,1,0,35,9,1,1,21,1,1,1,1,5,0,3,0,1,0,2,1,0,1,0,25,1,1,0,15,0,0,1,1,1,1,0,0,0,0,0,42,2,4,0,49,0,0,2,0,41,0,0,1,0,5,0,1,0,42,3,4,2,5,0,0,6,1,0,2,2,0,1,1,36,12,0,1,0,0,1,25,2,2,2,2,2,0,0,0,0,0,0,1,0,1,0,2,1,3,3,0,0,0,0,1,0,2,1,53,1,0,6,15,1,11,1,35,0,0,2,5,0,2,2,1,0,0,68,1,0,0,0,0,4,0,0,2,3,3,4,3,6,2,0,2,1,0,1,1,0,0,1,1,1,2,0,1,2,0,5,1,0,1,2,1,1,0,27,0,0,3,1,1,2,29,0,0,1,0,1,61,1,2,0,0,1,1,5,15,4,0,31,3,3,1,3,3,5,15,1,27,2,1,1,1,1,1,3,0,2,0,0,2,34,0,3,0,0,24,0,3,0,4,13,1,1,4,1,19,0,1,1,22,1,0,0,0,0,0,1,0,1,0,0,18,5,2,2,0,3,31,0,0,0,1,2,1,18,3,0,1,0,1,0,0,3,0,2,2,36,0,0,0,0,2,0,1,0,0,0,0,0,0,3,4,4,1,1,2,1,0,0,1,3,0,8,7,0,0,0,1,0,56,3,0,1,8,2,1,3,0,1,0,0,0,1,0,1,1,0,1,1,3,0,1,15,0,3,0,1,0,0,0,0,27,0,1,2,0,0,0,39,0,0,0,1,3,1,0,1,1,0,3,8,1,13,1,0,0,0,0,1,0,0,1,1,1,2,0,1,0,0,2,6,0,4,8,0,2,2,2,0,0,0,0,1,0,47,0,1,0,1,1,0,59,0,3,0,32,0,1,0,0,1,0,4,1,1,0,53,0,2,0,1,1,3,13,1,0,13,0,1,11,26,0,9,3,0,1,2,0,0,0,0,0,8,1,0,2,0,9,0,0,3,0,0,1,1,0,0,0,0,0,0,2,0,0,2,0,1,0,8,4,3,0,1,3,1,2,1,2,28,1,0,1,0,0,4,17,0,29,2,1,0,0,1,1,1,0,1,0,1,0,0,29,0,11,1,0,5,0,1,17,1,26,0,1,1,2,4,1,26,8,1,19,16,0,18,42,23,3,0,0,2,0,1,1,2,1,37,1,0,0,0,0,2,1,1,0,1,2
11,1,2,0,0,0,1,28,0,2,2,3,0,0,2,1,2,2,1,1,1,0,0,8,1,57,0,2,2,2,2,2,3,2,0,2,31,0,1,2,0,2,1,1,0,3,1,36,3,0,0,2,0,1,0,0,0,3,1,0,0,0,0,4,0,0,1,0,2,0,1,1,0,0,13,3,3,1,2,1,2,0,2,1,2,0,49,3,0,0,1,5,7,2,0,1,0,4,1,1,3,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,1,6,0,0,0,5,0,12,1,31,2,0,0,0,4,23,1,32,3,26,0,0,12,2,0,0,2,1,2,0,3,1,3,2,12,0,0,0,2,2,0,1,2,1,0,1,0,0,1,0,19,1,6,3,2,0,0,3,2,1,0,0,0,0,0,1,5,1,5,0,42,0,0,1,1,17,1,0,0,0,13,0,0,0,43,2,1,1,1,1,0,4,1,0,2,5,0,1,4,34,6,0,1,0,0,4,3,12,0,5,1,0,0,0,3,2,1,2,1,0,2,0,3,3,1,3,0,0,0,0,0,0,0,2,58,1,0,9,24,3,7,0,52,1,0,2,4,0,3,1,1,0,0,64,3,0,1,0,0,6,0,1,2,0,1,1,2,1,0,0,2,2,0,0,4,0,1,0,1,0,0,2,0,8,2,9,3,0,0,0,1,0,2,39,0,0,5,1,0,3,31,0,3,1,0,3,58,2,0,1,1,0,0,15,23,6,0,35,1,9,0,4,4,5,13,2,44,2,1,2,0,3,0,3,3,4,0,0,19,44,2,2,1,0,31,0,2,0,2,16,0,0,1,3,16,0,0,1,29,0,2,2,1,0,1,3,1,1,0,1,12,4,1,4,0,0,42,2,0,1,1,1,1,12,1,0,1,0,0,0,1,8,1,0,3,39,0,0,0,2,0,0,3,2,1,0,2,2,1,2,4,3,2,0,0,1,0,0,1,2,4,5,9,0,1,0,2,2,46,2,1,1,13,6,0,2,0,1,0,2,0,1,0,0,0,0,1,1,3,1,3,16,1,2,1,0,0,0,0,1,25,1,3,4,1,0,2,29,3,0,2,1,2,1,0,1,0,0,1,3,1,16,1,1,0,0,0,3,0,0,1,0,0,3,0,1,0,0,1,5,1,5,16,2,3,0,2,0,1,0,1,9,1,75,0,4,1,2,0,0,52,3,2,1,27,1,3,0,4,2,0,6,3,0,0,65,0,2,0,3,0,1,24,4,1,2,0,2,1,28,0,7,4,1,0,1,2,1,0,1,0,7,1,0,4,0,5,0,2,4,2,1,2,1,2,0,0,1,1,2,1,0,0,0,0,0,0,9,0,3,1,13,5,2,3,0,2,25,2,3,0,1,0,6,18,0,32,1,1,0,2,0,1,0,0,0,0,2,1,0,34,2,15,5,0,1,1,3,18,0,21,0,0,0,1,4,4,26,8,0,26,17,0,25,53,17,4,0,0,0,2,2,0,0,2,33,0,0,0,0,2,0,0,1,2,1,3
3,1,4,0,0,2,1,32,0,2,5,1,3,0,3,1,1,1,3,0,0,2,0,4,0,4,2,0,1,0,2,2,1,0,2,0,23,3,1,2,0,1,1,0,2,2,3,32,0,0,1,4,0,0,0,0,0,3,0,1,1,0,2,4,3,0,0,1,1,0,2,2,0,0,11,1,0,2,13,2,0,0,0,7,3,1,35,1,2,0,2,2,4,0,0,0,0,11,2,2,0,2,0,0,3,1,2,0,0,2,0,2,1,0,0,0,3,4,3,0,0,2,4,11,1,15,0,0,0,0,4,7,0,31,1,16,1,1,7,12,1,2,2,0,0,0,26,2,3,0,9,4,1,0,0,1,0,2,2,1,1,0,1,1,4,0,15,2,1,4,21,0,1,2,1,1,0,1,0,0,0,3,27,0,3,1,42,0,0,1,1,24,0,0,1,0,1,4,3,1,27,0,0,0,1,0,0,7,1,5,2,3,0,1,1,16,8,0,0,0,0,0,21,7,1,0,0,3,0,0,0,1,1,1,2,0,0,0,5,3,0,4,3,0,0,0,0,1,0,2,58,0,1,4,18,0,5,0,49,0,1,4,1,0,1,6,0,0,1,65,1,1,0,1,1,4,0,2,6,3,1,1,2,2,0,0,0,3,0,0,4,0,0,1,1,1,1,0,1,1,0,6,0,0,0,6,0,1,2,43,1,4,0,0,1,3,33,1,0,2,1,2,5,0,2,0,1,2,0,4,11,5,3,26,1,6,1,5,1,7,11,2,3,4,2,3,1,2,1,3,1,2,4,1,5,3,0,2,1,2,14,1,1,4,4,1,3,0,4,3,17,0,0,1,19,0,2,0,0,0,0,2,0,1,1,4,11,1,0,6,0,0,23,2,3,1,4,3,0,11,2,0,1,0,1,0,0,5,0,0,2,41,0,0,0,0,1,1,8,0,0,2,0,2,0,2,3,3,0,0,0,0,0,0,2,2,1,1,0,1,0,1,1,1,35,0,0,2,13,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,17,0,3,1,0,2,2,2,0,0,0,1,15,0,1,6,4,0,1,34,0,0,2,1,0,0,1,0,0,1,5,0,0,7,0,0,0,2,0,1,2,0,0,2,2,4,0,2,0,0,0,5,0,1,14,0,3,2,3,0,1,1,0,4,1,44,1,1,0,0,1,0,32,1,0,3,32,0,1,0,1,0,0,8,0,1,2,61,2,1,0,3,0,0,19,1,0,5,0,1,15,25,0,4,13,2,1,6,0,1,0,1,0,5,0,0,2,0,3,1,0,2,2,0,1,1,0,1,0,2,1,1,0,1,2,0,0,2,0,1,1,4,1,9,4,3,1,0,1,18,2,1,0,0,1,4,15,2,18,1,2,1,0,1,1,0,0,2,0,3,2,0,21,0,7,2,0,1,2,4,14,1,28,0,1,1,1,1,0,14,13,3,2,1,0,22,24,9,2,0,0,3,0,1,0,5,2,24,1,0,0,4,0,1,0,0,1,1,1
3,0,0,0,0,0,0,6,0,0,0,0,1,7,1,0,1,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,8,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,2,0,0,0,3,1,1,0,0,0,2,0,9,0,0,0,1,0,4,1,17,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,5,1,1,0,1,0,4,0,6,0,3,0,0,6,7,0,0,1,0,2,0,5,0,0,2,2,0,0,3,0,1,1,1,0,0,0,0,0,0,1,1,4,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,9,0,2,1,0,5,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,1,0,2,0,1,0,0,13,8,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,4,2,4,0,0,0,0,0,9,7,2,0,2,0,1,3,2,11,1,0,0,2,1,0,0,14,0,0,1,0,0,1,0,0,0,0,7,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,2,0,3,0,1,0,0,1,0,0,7,0,0,0,0,0,0,11,0,0,0,1,3,13,0,0,2,0,1,0,2,1,0,0,5,1,1,0,1,0,1,7,0,9,0,0,0,0,0,1,2,0,0,0,0,2,4,0,1,0,0,3,0,0,2,1,6,0,0,1,0,4,0,1,0,6,0,0,0,0,3,1,4,0,1,0,0,7,0,0,0,1,0,6,0,4,0,0,0,0,6,0,0,0,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,4,1,9,1,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,4,0,0,3,0,0,0,0,1,1,0,0,7,0,0,1,0,0,0,8,0,0,0,0,1,0,1,0,0,0,0,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,9,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,9,0,4,1,1,0,0,6,0,0,0,5,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,3,1,0,5,1,0,4,12,0,3,0,0,0,0,0,2,2,2,0,4,1,1,1,0,3,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,5,0,0,1,1,0,6,1,1,0,0,0,2,4,0,3,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,6,1,2,1,0,1,0,2,0,4,2,1,8,9,0,6,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1
15,1,2,0,0,1,2,35,0,1,1,3,8,2,0,0,2,1,0,1,1,1,2,2,0,41,0,0,1,0,0,2,1,0,1,0,24,1,0,0,0,2,2,0,8,1,5,24,1,0,0,2,1,0,0,0,1,3,0,0,1,1,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,22,1,2,0,0,4,0,1,28,0,2,0,1,0,8,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,3,1,23,2,12,2,0,0,0,2,11,2,47,1,14,0,0,7,16,1,0,1,1,0,1,34,4,0,1,1,0,1,0,1,0,1,0,0,3,2,0,1,1,0,0,19,2,1,0,23,0,3,0,4,0,0,1,0,0,0,1,51,0,0,1,49,0,0,0,1,27,0,0,0,1,6,3,1,1,37,5,0,1,0,0,0,4,0,3,0,3,0,0,2,18,9,0,0,0,1,0,25,6,0,0,2,1,2,0,2,1,2,1,1,2,4,0,3,3,2,2,2,0,0,0,0,1,0,1,52,0,3,2,18,2,6,0,44,0,1,3,4,0,2,2,1,0,1,73,2,0,1,1,0,4,1,1,2,3,0,1,2,3,0,0,0,2,0,0,7,1,0,0,0,1,1,0,1,3,3,1,0,0,2,1,1,2,0,37,0,3,0,3,2,1,32,0,0,1,0,3,55,0,0,1,1,0,0,6,16,2,1,23,1,6,0,6,0,4,1,5,27,0,4,3,2,2,0,4,2,3,0,0,23,24,0,8,1,0,22,3,2,3,1,8,0,0,0,3,13,0,0,0,2,4,0,0,1,0,2,4,0,1,0,0,16,6,2,6,1,1,32,1,0,0,0,0,2,9,3,0,0,0,0,2,0,9,1,1,1,39,0,0,0,0,2,1,13,2,2,1,1,1,1,0,3,1,0,0,1,0,0,1,0,7,0,5,5,0,0,0,3,2,35,2,0,0,16,2,0,1,0,5,0,0,0,0,1,0,0,0,2,0,19,2,1,19,1,1,0,0,1,2,1,1,2,0,0,6,0,1,1,3,0,0,1,1,1,0,0,2,0,1,2,1,0,14,1,2,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,2,1,4,7,0,1,0,1,0,0,1,1,0,0,53,1,2,1,1,1,1,4,0,1,1,23,0,1,0,4,0,0,2,3,1,0,63,0,2,0,3,2,1,22,2,0,17,1,3,4,27,0,3,8,0,2,0,1,0,0,2,1,5,0,0,3,0,8,0,1,1,1,0,1,1,2,0,0,1,0,0,0,0,1,1,0,0,0,4,1,1,1,13,1,2,0,0,1,27,1,4,1,1,0,8,13,1,24,2,1,1,2,2,2,1,0,0,0,0,1,0,4,0,7,1,0,1,1,1,13,3,24,0,3,0,1,3,0,22,9,1,11,9,0,22,28,18,5,0,0,2,3,1,1,2,0,29,1,0,0,1,1,0,1,0,1,1,2
